url,screenshot,palette,heatmap,color_1,prop_1,color_2,prop_2,color_3,prop_3,color_4,prop_4,color_5,prop_5
https://under-runes.neocities.org,screenshots\under-runes.neocities.org.png,palettes\under-runes.neocities.org_palette.png,heatmaps\under-runes.neocities.org_heatmap.png,#fefefe,"93,27",#8e8b8a,"0,25",#d3d3d3,"1,27",#f3f2f3,"5,05",#2c272a,"0,16"
https://sodalika.neocities.org,screenshots\sodalika.neocities.org.png,palettes\sodalika.neocities.org_palette.png,heatmaps\sodalika.neocities.org_heatmap.png,#6c5135,"8,76",#f0eeb8,"48,82",#382912,"22,24",#a49d5a,"11,7",#c3bf90,"8,48"
https://el-guapo.neocities.org,screenshots\el-guapo.neocities.org.png,palettes\el-guapo.neocities.org_palette.png,heatmaps\el-guapo.neocities.org_heatmap.png,#ffffff,100,,,,,,,,
https://morphy.neocities.org,screenshots\morphy.neocities.org.png,palettes\morphy.neocities.org_palette.png,heatmaps\morphy.neocities.org_heatmap.png,#fefefe,"96,39",#b3b3b3,"0,84",#e6e6e7,"1,21",#6e6e6e,"0,29",#ccccd0,"1,27"
https://jorgegarciafernandez.neocities.org,screenshots\jorgegarciafernandez.neocities.org.png,palettes\jorgegarciafernandez.neocities.org_palette.png,heatmaps\jorgegarciafernandez.neocities.org_heatmap.png,#000000,"97,17",#989086,"0,39",#25242a,"1,18",#51504f,"0,79",#b5b4b5,"0,48"
https://wetooktheheaven.neocities.org,screenshots\wetooktheheaven.neocities.org.png,palettes\wetooktheheaven.neocities.org_palette.png,heatmaps\wetooktheheaven.neocities.org_heatmap.png,#020202,"89,51",#8f8e8f,"1,62",#c1c1c1,"3,67",#575657,"2,06",#252424,"3,14"
https://mydark290zsite.neocities.org,screenshots\mydark290zsite.neocities.org.png,palettes\mydark290zsite.neocities.org_palette.png,heatmaps\mydark290zsite.neocities.org_heatmap.png,#fefefe,"96,63",#726f6a,"0,5",#c7c7cb,"1,12",#e4e5e7,"1,03",#aca9a6,"0,72"
https://thefeeling.neocities.org,screenshots\thefeeling.neocities.org.png,palettes\thefeeling.neocities.org_palette.png,heatmaps\thefeeling.neocities.org_heatmap.png,#fefefe,"97,15",#adaba8,"0,64",#777167,"0,32",#e4e4e6,"0,93",#c6c6cb,"0,95"
https://kipr.neocities.org,screenshots\kipr.neocities.org.png,palettes\kipr.neocities.org_palette.png,heatmaps\kipr.neocities.org_heatmap.png,#fefefe,"98,37",#8c8c8c,"0,19",#cecfcf,"0,46",#e7e7ea,"0,58",#b1b1b8,"0,4"
https://enzomosqueda.neocities.org,screenshots\enzomosqueda.neocities.org.png,palettes\enzomosqueda.neocities.org_palette.png,heatmaps\enzomosqueda.neocities.org_heatmap.png,#b4d89f,"51,9",#425456,"19,48",#7e9981,"15,04",#d5e5e5,"5,28",#66aec5,"8,31"
https://esbozopensante.neocities.org,screenshots\esbozopensante.neocities.org.png,palettes\esbozopensante.neocities.org_palette.png,heatmaps\esbozopensante.neocities.org_heatmap.png,#080809,"26,73",#e5e9ea,"25,92",#63a6b1,"22,29",#266d62,"20,37",#b5b73c,"4,68"
https://guelif.neocities.org,screenshots\guelif.neocities.org.png,palettes\guelif.neocities.org_palette.png,heatmaps\guelif.neocities.org_heatmap.png,#97764d,"1,54",#f4f4f4,"91,08",#dfd5c2,"4,15",#4b3b2d,"1,12",#c7ae88,"2,11"
https://denzil.neocities.org,screenshots\denzil.neocities.org.png,palettes\denzil.neocities.org_palette.png,heatmaps\denzil.neocities.org_heatmap.png,#fefefe,"99,33",#969696,"0,15",#9b9bf7,"0,19",#6d6d6c,"0,18",#d2d2d9,"0,15"
https://pruebabatium.neocities.org,screenshots\pruebabatium.neocities.org.png,palettes\pruebabatium.neocities.org_palette.png,heatmaps\pruebabatium.neocities.org_heatmap.png,#fefefe,"99,66",#b7b7f7,"0,04",#e9e9ea,"0,1",#b5b4b5,"0,08",#d5d4d6,"0,12"
https://lewri.neocities.org,screenshots\lewri.neocities.org.png,palettes\lewri.neocities.org_palette.png,heatmaps\lewri.neocities.org_heatmap.png,#0c0c0d,"95,82",#101010,"1,02",#181419,"0,05",#0e0e0e,"2,85",#121213,"0,25"
https://lluviasdelcrepusculo.neocities.org,screenshots\lluviasdelcrepusculo.neocities.org.png,palettes\lluviasdelcrepusculo.neocities.org_palette.png,heatmaps\lluviasdelcrepusculo.neocities.org_heatmap.png,#fefefe,"97,68",#afaead,"0,83",#cacad9,"0,4",#ededef,"0,89",#988c77,"0,2"
https://venuscaotico.neocities.org,screenshots\venuscaotico.neocities.org.png,palettes\venuscaotico.neocities.org_palette.png,heatmaps\venuscaotico.neocities.org_heatmap.png,#feecb5,"73,14",#d29f6d,"6,71",#5c9edb,"1,4",#f8f3ee,"9,03",#e3c598,"9,73"
https://humitasliminal.neocities.org,screenshots\humitasliminal.neocities.org.png,palettes\humitasliminal.neocities.org_palette.png,heatmaps\humitasliminal.neocities.org_heatmap.png,#e3d8d0,"86,51",#725863,"4,6",#b39794,"4,52",#2b1d33,"3,16",#c15d39,"1,21"
https://panqui.neocities.org,screenshots\panqui.neocities.org.png,palettes\panqui.neocities.org_palette.png,heatmaps\panqui.neocities.org_heatmap.png,#293159,"70,44",#a0a0a3,"1,09",#e5d7cb,"1,94",#1c223c,"24,67",#44518b,"1,86"
https://mantalon.neocities.org,screenshots\mantalon.neocities.org.png,palettes\mantalon.neocities.org_palette.png,heatmaps\mantalon.neocities.org_heatmap.png,#131d0e,"69,49",#a48d3c,"2,52",#2c2d31,"17,56",#9aa9ca,"2,82",#57544d,"7,6"
https://filosofiadebarrio.neocities.org,screenshots\filosofiadebarrio.neocities.org.png,palettes\filosofiadebarrio.neocities.org_palette.png,heatmaps\filosofiadebarrio.neocities.org_heatmap.png,#fefefe,"20,01",#c9c9c9,"1,85",#e7e7e7,"1,82",#f9f9f9,"75,8",#a9a9a9,"0,52"
https://akirabloggs.neocities.org,screenshots\akirabloggs.neocities.org.png,palettes\akirabloggs.neocities.org_palette.png,heatmaps\akirabloggs.neocities.org_heatmap.png,#fee6ee,"95,77",#e14fa2,"0,66",#413f2e,"0,42",#afa799,"1,28",#dbccbd,"1,88"
https://the-fortress-roleplay.neocities.org,screenshots\the-fortress-roleplay.neocities.org.png,palettes\the-fortress-roleplay.neocities.org_palette.png,heatmaps\the-fortress-roleplay.neocities.org_heatmap.png,#1f2023,"5,64",#fefefe,"88,53",#ceced4,3,#5e6ae8,"1,02",#aaa9a9,"1,8"
https://syringaokapia.neocities.org,screenshots\syringaokapia.neocities.org.png,palettes\syringaokapia.neocities.org_palette.png,heatmaps\syringaokapia.neocities.org_heatmap.png,#f5e0f1,"70,37",#ad6b48,"5,24",#322d36,"8,06",#b9b6b8,"9,06",#597d9c,"7,26"
https://ocumo.neocities.org,screenshots\ocumo.neocities.org.png,palettes\ocumo.neocities.org_palette.png,heatmaps\ocumo.neocities.org_heatmap.png,#020105,"12,68",#370942,"21,54",#871d25,"13,8",#67635e,"5,23",#191121,"46,76"
https://kabosu.neocities.org,screenshots\kabosu.neocities.org.png,palettes\kabosu.neocities.org_palette.png,heatmaps\kabosu.neocities.org_heatmap.png,#cacaf9,"11,03",#fefefe,"75,13",#7fa12c,"0,57",#d8d8da,"6,16",#e9e9f4,"7,12"
https://tgw.neocities.org,screenshots\tgw.neocities.org.png,palettes\tgw.neocities.org_palette.png,heatmaps\tgw.neocities.org_heatmap.png,#ffffff,100,,,,,,,,
https://dotdager.neocities.org,screenshots\dotdager.neocities.org.png,palettes\dotdager.neocities.org_palette.png,heatmaps\dotdager.neocities.org_heatmap.png,#111011,"35,37",#818084,"26,92",#5d4779,"16,33",#3a2c49,"6,72",#70667e,"14,66"
https://keepydummy.neocities.org,screenshots\keepydummy.neocities.org.png,palettes\keepydummy.neocities.org_palette.png,heatmaps\keepydummy.neocities.org_heatmap.png,#000000,"86,92",#7c4345,"3,43",#270d0c,"3,97",#a79592,"1,22",#641e21,"4,46"
https://pandarojoproducciones.neocities.org,screenshots\pandarojoproducciones.neocities.org.png,palettes\pandarojoproducciones.neocities.org_palette.png,heatmaps\pandarojoproducciones.neocities.org_heatmap.png,#ac0014,"88,5",#675d62,"2,99",#e6dedf,"0,97",#181418,"3,45",#850110,"4,09"
https://historiaspencas.neocities.org,screenshots\historiaspencas.neocities.org.png,palettes\historiaspencas.neocities.org_palette.png,heatmaps\historiaspencas.neocities.org_heatmap.png,#fefefe,"99,4",#616061,"0,16",#c5c5c5,"0,16",#848586,"0,12",#e4e4e4,"0,16"
